연구현황,연구정보,연구의뢰자,연구비지원기관,연구종류,임상시험단계,중재종류,등록번호,연구고유번호,연구대상/질환,등록일,최종갱신일,첫환자등록일자,연구종료일,주요결과변수
연구종결(Completed),"건강한 남성 자원자에서 tadalafil 20 mg 정제와 tadalafil 20 mg 구강용해필름의 안전성과 약동학을 비교평가하기 위한 무작위배정, 공개, 단회 투여, 2X2 교차임상시험 - A randomized, open-label, single-dosing, two-treatment, two-sequence, two-period, 2x2 crossover study to evaluate the safety and pharmacokinetics of tadalafil 20 mg tablet and tadalafil 20 mg Oral Dissolving Film in healthy male volunteers",충남대학교병원,(주)씨엘팜(CLPharm),중재연구(Interventional Study),Phase1,의약품(Drug),KCT0002360,CNUH 2014-08-014,penile erection,2017-06-15,2017-05-29,2014-10-02,2014-12-10,Tadalafil 의 AUClast(AUClast of tadalafil)Tadalafil 의 Cmax(Cmax of tadalafil)
모집 중(Recruiting),악성 식도 협착에서 자가 팽창형 금속제 스텐트의 유용성 : 새롭게 디자인 된 스텐트를 이용한 전향적 연구 - Usefulness of self-expanding metallic stent in malignant esophageal stricture: Prospective study using anti-migration stent newly-redesigned,재단법인아산사회복지재단 서울아산병원,재단법인아산사회복지재단 서울아산병원(Asan Medical Center),중재연구(Interventional Study),Phase1,의료기구(Medical Device),KCT0002359,2016-0471,"Obstructive, Stents",2017-06-15,2017-06-15,2017-06-01,2017-12-31,"ECOG performance state(활동력), GOOSS(식이 진행 사항), 임상적 식도 폐쇄에 대한 문진(ECOG performance state, GOOSS(Dietary progress), Esophageal obstruction)"
연구종결(Completed),열공망막박리에서 충전물로서 공기를 사용한 결과 - Results of Exclusively Using Air as Gas Tamponade in Rhegmatogenous Retinal Detachment,부산대학교병원,부산대학교병원(Pusan National University Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002358,H-1612-005-049,Retinal Detachment,2017-06-15,2017-05-24,2016-12-25,2017-03-01,재유착율(reattachment rate)
모집 중(Recruiting),"유방암 환자로 항암치료에 수반되는 말초신경병증 환자에게 케어밴드(CarebandR)의 사용에 따른 효과 및 안전성 비교를 위한 단일기관, 무작위배정, 대조제품비교, 단일눈가림, 연구자 임상시험 - A Randomized, Single-blind, Placebo-controlled, Single center, Investigator Initiated Trial to Evaluate the Efficacy and Safety of CarebandR for Chemotherapy Induced Peripheral Neuropathy Subjects",충남대학교,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),해당사항없음(Not applicable),의료기구(Medical Device),KCT0002357,CNUH 2016-11-020-004,Breast Neoplasms Peripheral Nervous System Diseases,2017-06-13,2017-05-24,2017-04-28,2018-04-16,"숫자통증등급 (Numerical rating scales, NRS)(Numerical rating scales (NRS))"
모집 중(Recruiting),"경피적 관상동맥 중재술 및 프라수그렐 투여를 받은 급성 관상동맥 증후군 환자에서 1년간의 임상적 결과를 평가하기 위한 다기관, 비-중재적 관찰연구 - A multicenter, non-interventional observational study to evaluate 1-year clinical outcomes in acute coronary syndrome (ACS) patients undergoing percutaneous coronary interventions (PCI) and Prasugrel therapy.",서울대학교병원,한국다이이찌산쿄 주식회사(Daiichi-Sankyo Korea),관찰연구(Observational Study),,,KCT0002356,EFT-OS-16-01,Acute Coronary Syndrome,2017-06-13,2017-05-23,2017-03-09,2020-09-30,"최종 임상적 사건: 심혈관계 원인에 의한 사망, 비-치명적 심근경색, 비-치명적 뇌졸중, 비-관상동맥우회술 관련 TIMI 대출혈(Net clinical events: Death from cardiovascular causes, nonfatal myocardial infarction, nonfatal stroke, non-CABG related TIMI major bleeding)"
모집 중(Recruiting),어깨 관절경 수술 후 통증에 대한 침스밴드의 효과를 평가하기 위한 무작위배정 탐색임상시험 - A randomized exploratory clinical trial to evaluate the effectiveness of the chimsband therapy for pain after shoulder arthroscopic surgery,동신대학교,한국한의학연구원(Korea Institute of Oriental Medicine),중재연구(Interventional Study),해당사항없음(Not applicable),의료기구(Medical Device),KCT0002355,KE1601,어깨 관절경 수술 후 어깨부위 통증을 호소하는 자,2017-06-13,2017-05-24,2017-05-16,,시각상사척도(Visual Analog Scale (VAS))
연구종결(Completed),"내시경적 역행성 담췌관조영술 4시간 후 임상 평가를 바탕으로 한 조기 경구식이의 임상적 안전성과 환자 만족도 분석: 무작위, 전향적 연구 - Clinical safety and patient satisfaction of early re-feeding based on evaluation at 4 hours after endoscopic retrograde cholangio-pancreatography: A prospective randomized controlled trial",한림대학교동탄성심병원,한림대학교동탄성심병원(Hallym University Medical Center-Dongtan),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002354,2015-238-I,all disease requiring ERCP,2017-06-13,2017-05-24,2015-07-22,2017-04-21,ERCP 시술 후 시술관련 급성췌장염의 발생빈도(the incidence of post ERCP pancreatitis)
모집 중(Recruiting),복강경하 담낭절제술을 시행받는 남자환자에서 마취 후 기관내튜브 제거 중 기침 예방을 위한 remifentanil의 적정 효과처 농도에 나이가 미치는 영향 - Effects of age on the optimal effect-site concentration of remifentanil for preventing cough during anesthetic emergence in male patients undergoing laparoscopic cholecystectomy,아주대학교,아주대학교병원(Ajou University Hospital),중재연구(Interventional Study),Phase4,기타(Others),KCT0002353,AJIRB-MED-OBS-16-146,laparoscopic cholecystectomy 시행받는 20-50세와 65-75세 남자 환자,2017-06-13,2017-05-24,2016-06-27,2017-12-31,마취로 부터 각성시 발관 5분 이내의 기침 유무(presence or absence of cough after extubation within 5 min)
모집 중(Recruiting),비디오 투시 삼킴 검사 중 인두너비 측정을 통한 흡인 예측 - Prediction of aspiration using pharyngeal width taken during VFSS,한림대학교,한림대학교(Hallym University),관찰연구(Observational Study),,,KCT0002352,2017-I040,"Dysphagia, Cerebral infarction, Cerebral hemorrhage",2017-06-12,2017-05-23,2017-06-01,2018-05-31,인두 너비(Pharyngeal width)
연구종결(Completed),"복부근육 활동도 측정을 위한 압력 측정 기기의 선행적, 탐색적 연구 - Novel pressure sensor device to measure abdominal muscle activities: a preliminary and exploratory study",서울대학교병원,서울대학교병원(Seoul National University Hospital),관찰연구(Observational Study),,,KCT0002351,H-1410-059-618,low back pain,2017-06-09,2017-05-23,2014-11-01,2015-03-31,표면 근전도의 출력과 본 연구에서 개발한 압력센서 출력간의 상관관계(Correlation coefficient between surface electromyogram and output of the pressure sensor developed in thist study)
모집 중(Recruiting),췌장암 환자의 암성통증에 대한 영상증폭장치 유도 복강신경얼기 차단술과 내시경 초음파 유도 복강신경얼기 차단술의 효과에 대한 비교 연구 - Comparative effect of celiac plexus neurolysis guided by fluoroscopy and endoscopic ultrasound in patients with pancreatic cancer pain,재단법인아산사회복지재단 서울아산병원,재단법인아산사회복지재단 서울아산병원(Asan Medical Center),중재연구(Interventional Study),Phase3,"의료기구(Medical Device), 시술/수술(Procedure/Surgery)",KCT0002350,Asan Medical Center IRB 2017-0186,Pancreatic Neoplasms,2017-06-09,2017-05-23,2017-03-20,2018-02-28,통증정도(Numerical rating scale(NRS))
모집 중(Recruiting),"경증의 퇴행성 골관절염 증상을 가진 사람을 대상으로 YD-106AS가 관절건강에 미치는 유효성 및 안전성을 평가하기 위한 12주, 다기관, 무작위배정, 이중눈가림, 위약대조 인체적용시험 - 12 week, multi-center, randomized, double-blind, placebo-controlled clinical trial for the evaluation of the efficacy and safety of YD-106AS on Osteoarthritis",한림대학교성심병원,(주) 와이디생명과학(YD Global Life Science),중재연구(Interventional Study),해당사항없음(Not applicable),식이보충제(Dietary Supplement),KCT0002349,2017-S015,knee arthritis,2017-06-09,2017-05-22,2017-04-14,2017-09-30,VAS 통증척도(Survey VAS)관절기능평가설문 (K-WOMAC) (Korean - Western Ontario McMaster Universities Osteoarthritis (K-WOMAC) )건강관련 삶의 질 평가설문(KSF-36)(Korean-Short Form Health Survey 36(KSF-36))시험대상자 및 담당의사에 의한 개선도 (improvement of patients and investigator )혈중염증지표(Inflammation of blood )
연구종결(Completed),피코라이트 분할 복용 시간에 따른 장정결도 및 순응도 비교 연구 - A Blinded Clinical Trial comparing the Efficacy and Tolerability of Picolight(fixed split dose regimen) for colonoscopy,강릉아산병원,강릉아산병원(GangNeung Asan Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0002348,2013-058,"Health screening, Family history of Colon cancer, Irritable bowel syndrome, follow up for Colon polyp",2017-06-09,2017-05-26,2014-08-28,2015-11-12,장정결 정도(effect of bowel clearance)
모집 중(Recruiting),중등도 및 중증의 무지외반증에서 원위 연부 조직 관절내 유리술의 두 가지 방법에 따른 원위부 갈매기형 절골술의 전향적 무작위 비교 연구 - Transarticular distal soft tissue release with distal chevron osteotomy for moderate to severe hallux valgus: A prospective randomized controlled trial of two methods,고려대학교의과대학부속안산병원,고려대학교의과대학부속안산병원(Korea University Ansan Hospital),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0002347,AS16023-003,Hallux valgus,2017-06-09,2017-05-20,2016-09-23,2020-03-10,족부 족관절 결과 점수 (Foot and Ankle Outcome Score)족부 기능 지수 (Foot Function Index)시각 통증 척도 (Visual Analogue Scale)환자 만족도 (Patient Satisfaction )
